State,County,Crash_Date,Crash_Time,Day_of_Week,Location_Type,Weather_Conditions,Road_Condition,Number_of_Vehicles,Vehicle_Type_1,Vehicle_Type_2,EV_Indicator_1,EV_Indicator_2,Driver_Age_1,Driver_Age_2,Driver_Gender_1,Driver_Gender_2,Crash_Severity,Crash_Cause,Fatalities,Injuries,Alcohol_Involvement,Speeding,Police_Report_Filed,Vehicle_Make_1,Vehicle_Make_2,Year_of_Vehicle_1,Year_of_Vehicle_2,Crash_Year
GA,County 24,8/16/21,0:16,Sunday,Rural,Rain,Gravel,1,Sedan,,No,,22,,Male,,Severe Injury,Distracted Driving,0,6,No,Yes,No,Chevrolet,,2001,,2021
GA,County 70,3/28/22,14:44,Saturday,Rural,Clear,Wet,1,Sedan,,No,,58,,Male,,No Injury,Mechanical Failure,0,0,Yes,Yes,No,Chevrolet,,2013,,2022
PA,County 4,1/21/20,10:29,Thursday,Highway,Clear,Dry,1,Motorcycle,,No,,47,,Male,,Minor Injury,Weather,0,0,Yes,Yes,No,Chevrolet,,2019,,2020
IL,County 97,3/11/20,20:28,Tuesday,Rural,Clear,Dry,2,EV,Motorcycle,Yes,No,21,76.0,Male,Female,No Injury,DUI,0,0,Yes,Yes,Yes,Honda,Nissan,2022,2008.0,2020
DE,County 64,8/15/20,18:10,Friday,Urban,Fog,Dry,4,Truck,Truck,No,No,47,68.0,Male,Male,Severe Injury,Distracted Driving,0,4,Yes,Yes,No,Ford,Tesla,2020,2012.0,2020
ID,County 28,4/18/23,8:48,Monday,Rural,Clear,Construction Zone,3,Truck,Motorcycle,Yes,No,76,39.0,Female,Male,Severe Injury,Fatigue,0,2,No,No,No,Tesla,Chevrolet,2004,2015.0,2023
TN,County 60,5/19/23,9:46,Friday,Urban,Rain,Icy,3,Truck,EV,Yes,Yes,60,30.0,Female,Male,Severe Injury,Speeding,0,1,Yes,No,Yes,Ford,BMW,2017,2012.0,2023
VT,County 37,5/27/23,17:56,Thursday,Highway,Fog,Construction Zone,4,EV,Motorcycle,Yes,No,32,43.0,Female,Female,Fatal,Speeding,4,8,No,No,No,Honda,Toyota,2016,2023.0,2023
TX,County 72,6/30/20,18:07,Friday,Urban,Fog,Icy,5,EV,SUV,Yes,No,26,71.0,Female,Male,Fatal,Mechanical Failure,4,8,Yes,No,Yes,Chevrolet,Nissan,2007,2008.0,2020
NC,County 56,7/7/21,14:02,Friday,Rural,Clear,Wet,5,EV,Motorcycle,Yes,No,56,51.0,Female,Male,Severe Injury,Fatigue,0,0,Yes,Yes,Yes,Chevrolet,Audi,2021,2023.0,2021
AL,County 46,11/4/21,0:56,Tuesday,Rural,Clear,Dry,1,Sedan,,No,,64,,Male,,Minor Injury,Fatigue,0,0,No,No,Yes,Kia,,2003,,2021
AL,County 67,12/3/22,18:49,Sunday,Urban,Clear,Icy,1,Motorcycle,,No,,16,,Male,,Fatal,Mechanical Failure,4,10,Yes,Yes,Yes,Audi,,2006,,2022
WV,County 75,10/10/23,17:49,Friday,Residential,Windy,Dry,4,Sedan,EV,No,Yes,59,54.0,Male,Female,No Injury,Distracted Driving,0,0,No,Yes,Yes,Toyota,Toyota,2019,2018.0,2023
UT,County 29,5/25/21,13:07,Monday,Rural,Fog,Dry,1,EV,,Yes,,26,,Female,,Fatal,Fatigue,4,8,No,No,No,Hyundai,,2004,,2021
MD,County 20,2/7/20,6:40,Wednesday,Urban,Clear,Icy,2,Truck,SUV,No,No,51,68.0,Female,Male,No Injury,Distracted Driving,0,0,No,No,No,Kia,Honda,2012,2013.0,2020
VA,County 7,7/14/20,1:35,Tuesday,Highway,Clear,Wet,5,Sedan,EV,No,Yes,35,33.0,Male,Female,Minor Injury,Speeding,0,0,Yes,No,Yes,Toyota,Hyundai,2011,2016.0,2020
NY,County 34,11/11/23,10:57,Tuesday,Residential,Rain,Icy,2,Motorcycle,Truck,No,No,36,44.0,Female,Female,Fatal,Speeding,2,1,Yes,Yes,Yes,Hyundai,Nissan,2003,2017.0,2023
NE,County 9,7/10/23,5:50,Saturday,Highway,Snow,Construction Zone,1,Truck,,No,,66,,Male,,Fatal,Speeding,3,9,Yes,Yes,Yes,Honda,,2013,,2023
AR,County 11,9/18/20,17:15,Friday,Rural,Fog,Dry,1,Sedan,,No,,38,,Male,,Severe Injury,Weather,0,10,No,Yes,No,Tesla,,2004,,2020
OH,County 92,2/5/22,0:31,Saturday,Residential,Fog,Icy,2,Truck,Truck,No,No,64,21.0,Female,Male,Severe Injury,Mechanical Failure,0,6,Yes,No,No,Toyota,Tesla,2019,2002.0,2022
AL,County 47,10/19/22,23:47,Sunday,Rural,Snow,Gravel,2,Truck,SUV,No,No,60,69.0,Male,Female,No Injury,Weather,0,0,Yes,Yes,No,Tesla,Ford,2014,2021.0,2022
MT,County 58,1/8/20,16:25,Sunday,Residential,Fog,Icy,4,SUV,SUV,No,No,51,25.0,Female,Female,No Injury,Weather,0,0,No,No,No,Audi,Tesla,2021,2005.0,2020
SD,County 27,1/10/22,0:02,Thursday,Urban,Windy,Icy,5,EV,Motorcycle,Yes,No,54,34.0,Male,Male,Minor Injury,Distracted Driving,0,0,Yes,No,Yes,Honda,BMW,2023,2012.0,2022
DE,County 20,6/26/20,10:50,Saturday,Residential,Snow,Construction Zone,3,SUV,Truck,No,No,48,38.0,Male,Female,Minor Injury,Distracted Driving,0,0,Yes,Yes,Yes,Kia,Audi,2006,2017.0,2020
ND,County 19,8/7/22,7:00,Sunday,Residential,Rain,Icy,2,Truck,EV,No,Yes,52,80.0,Male,Male,Minor Injury,Weather,0,0,No,Yes,No,BMW,Honda,2000,2011.0,2022
CT,County 6,1/7/21,2:10,Sunday,Highway,Snow,Wet,3,Sedan,SUV,Yes,No,47,19.0,Male,Female,Fatal,Distracted Driving,4,8,No,Yes,Yes,Audi,Ford,2003,2022.0,2021
NC,County 50,4/18/20,1:12,Tuesday,Urban,Rain,Dry,5,Motorcycle,EV,No,Yes,22,26.0,Male,Female,Fatal,Speeding,1,4,No,Yes,Yes,Tesla,Audi,2023,2003.0,2020
NJ,County 98,8/28/23,17:26,Monday,Urban,Fog,Wet,3,EV,Sedan,Yes,No,80,49.0,Male,Female,No Injury,Weather,0,0,No,No,Yes,Tesla,Tesla,2006,2014.0,2023
MI,County 68,12/5/20,22:07,Monday,Residential,Rain,Construction Zone,5,Motorcycle,EV,Yes,Yes,16,76.0,Male,Female,Fatal,Fatigue,1,7,Yes,No,Yes,BMW,Toyota,2017,2022.0,2020
WY,County 79,8/20/22,4:08,Tuesday,Residential,Snow,Gravel,4,Sedan,EV,Yes,Yes,41,78.0,Female,Male,Fatal,Mechanical Failure,3,8,Yes,Yes,Yes,Honda,Hyundai,2000,2021.0,2022
OK,County 47,12/21/21,14:55,Friday,Urban,Clear,Wet,3,Truck,SUV,No,No,33,43.0,Female,Male,Severe Injury,Speeding,0,6,Yes,No,No,Hyundai,Nissan,2014,2008.0,2021
NM,County 3,3/7/22,14:43,Saturday,Highway,Clear,Gravel,5,Sedan,SUV,Yes,No,62,34.0,Male,Female,Fatal,Fatigue,0,6,No,Yes,No,Tesla,Toyota,2015,2000.0,2022
MS,County 6,8/21/23,16:49,Wednesday,Rural,Snow,Wet,1,EV,,Yes,,44,,Male,,Minor Injury,Weather,0,0,No,Yes,Yes,Toyota,,2000,,2023
CT,County 95,5/20/22,19:51,Sunday,Urban,Clear,Icy,2,Sedan,SUV,No,No,28,63.0,Male,Female,No Injury,Fatigue,0,0,No,No,No,BMW,Chevrolet,2007,2021.0,2022
SC,County 43,4/21/21,9:35,Monday,Urban,Clear,Icy,1,Sedan,,No,,51,,Female,,No Injury,Distracted Driving,0,0,Yes,No,No,Tesla,,2010,,2021
OK,County 44,10/19/21,23:48,Sunday,Urban,Rain,Construction Zone,1,Motorcycle,,No,,79,,Female,,Fatal,DUI,1,9,No,No,Yes,Nissan,,2011,,2021
MO,County 82,4/3/20,21:51,Friday,Residential,Rain,Wet,4,Sedan,SUV,No,No,53,53.0,Female,Female,Minor Injury,Mechanical Failure,0,0,No,No,Yes,Toyota,Nissan,2002,2014.0,2020
NJ,County 27,5/5/20,16:29,Monday,Highway,Fog,Icy,4,EV,SUV,Yes,No,77,23.0,Male,Male,No Injury,Distracted Driving,0,0,No,Yes,Yes,Ford,Audi,2009,2002.0,2020
NC,County 42,12/16/23,14:42,Tuesday,Residential,Clear,Wet,5,SUV,Truck,Yes,No,49,66.0,Female,Male,No Injury,DUI,0,0,No,Yes,No,BMW,BMW,2008,2004.0,2023
UT,County 27,10/21/20,15:04,Sunday,Rural,Snow,Wet,5,Motorcycle,Motorcycle,No,No,69,33.0,Female,Male,Severe Injury,Weather,0,6,No,Yes,No,Toyota,Honda,2016,2016.0,2020
PA,County 87,4/23/21,5:03,Saturday,Highway,Snow,Wet,3,Sedan,Truck,No,No,19,34.0,Female,Male,No Injury,Fatigue,0,0,Yes,No,No,BMW,Honda,2000,2010.0,2021
TN,County 95,10/20/21,13:28,Monday,Residential,Windy,Construction Zone,4,Motorcycle,Truck,No,No,60,48.0,Male,Female,Fatal,Weather,5,0,Yes,No,Yes,Ford,Audi,2006,2012.0,2021
FL,County 59,2/26/21,5:03,Saturday,Rural,Rain,Wet,4,Sedan,Sedan,Yes,No,25,75.0,Female,Female,No Injury,Weather,0,0,Yes,No,Yes,BMW,Ford,2001,2009.0,2021
OH,County 48,8/21/20,9:17,Sunday,Residential,Windy,Construction Zone,2,Sedan,Truck,No,No,38,29.0,Female,Male,Severe Injury,Weather,0,2,Yes,Yes,Yes,BMW,Kia,2017,2000.0,2020
ID,County 87,3/25/22,8:31,Sunday,Urban,Clear,Gravel,5,Sedan,Sedan,No,No,73,75.0,Male,Male,Fatal,Mechanical Failure,1,7,Yes,No,Yes,Toyota,Honda,2018,2006.0,2022
NE,County 59,1/10/21,8:58,Wednesday,Residential,Windy,Wet,1,Motorcycle,,No,,36,,Female,,No Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Kia,,2001,,2021
WI,County 42,6/16/21,1:10,Wednesday,Highway,Clear,Construction Zone,2,EV,SUV,Yes,No,32,75.0,Male,Female,Severe Injury,Weather,0,1,Yes,Yes,No,Chevrolet,Nissan,2020,2001.0,2021
WY,County 73,5/29/22,1:08,Sunday,Residential,Fog,Gravel,4,Truck,SUV,No,No,74,37.0,Female,Female,Severe Injury,Weather,0,7,No,No,Yes,Audi,Toyota,2016,2017.0,2022
AL,County 54,10/11/22,11:48,Thursday,Urban,Rain,Dry,5,Sedan,Sedan,Yes,No,37,21.0,Male,Male,Fatal,Distracted Driving,2,3,Yes,No,No,Hyundai,Kia,2001,2018.0,2022
HI,County 45,1/29/21,7:13,Tuesday,Urban,Rain,Wet,3,Sedan,Sedan,No,No,35,63.0,Female,Female,Fatal,Speeding,4,3,No,No,No,Toyota,Chevrolet,2012,2018.0,2021
OK,County 72,8/6/21,22:50,Tuesday,Rural,Rain,Wet,2,Truck,SUV,No,No,66,36.0,Female,Male,Fatal,Weather,0,5,Yes,Yes,Yes,Honda,Honda,2002,2005.0,2021
AR,County 57,11/13/21,19:25,Wednesday,Rural,Clear,Dry,2,SUV,Motorcycle,No,No,67,41.0,Male,Female,No Injury,Distracted Driving,0,0,No,No,Yes,Tesla,Toyota,2012,2005.0,2021
LA,County 83,7/9/20,18:13,Thursday,Highway,Windy,Dry,5,SUV,SUV,No,No,66,73.0,Male,Male,Fatal,Mechanical Failure,2,3,No,Yes,No,Honda,Audi,2010,2004.0,2020
NC,County 81,3/27/22,8:24,Monday,Rural,Clear,Construction Zone,4,Sedan,Motorcycle,No,No,45,19.0,Male,Male,Minor Injury,Distracted Driving,0,0,Yes,No,Yes,Chevrolet,Ford,2022,2003.0,2022
MI,County 46,1/21/20,10:06,Wednesday,Rural,Rain,Dry,5,Sedan,Truck,No,No,46,22.0,Female,Female,No Injury,Fatigue,0,0,Yes,No,No,Kia,Ford,2011,2022.0,2020
FL,County 20,7/10/20,16:34,Tuesday,Highway,Snow,Construction Zone,1,EV,,Yes,,39,,Male,,Minor Injury,Weather,0,0,No,No,Yes,BMW,,2015,,2020
OR,County 26,3/3/21,7:48,Tuesday,Residential,Snow,Dry,3,EV,Sedan,Yes,No,37,59.0,Female,Female,No Injury,Distracted Driving,0,0,Yes,No,No,Hyundai,Hyundai,2006,2023.0,2021
WY,County 42,12/3/23,13:45,Sunday,Residential,Rain,Gravel,2,Sedan,EV,Yes,Yes,50,66.0,Female,Male,Severe Injury,Distracted Driving,0,4,Yes,No,No,Tesla,Kia,2012,2005.0,2023
ID,County 24,12/18/21,0:48,Monday,Rural,Snow,Gravel,2,Truck,Motorcycle,No,No,38,68.0,Male,Female,Severe Injury,Fatigue,0,0,Yes,Yes,Yes,Chevrolet,Honda,2002,2009.0,2021
ID,County 77,1/24/20,0:38,Saturday,Residential,Fog,Wet,4,Sedan,SUV,No,No,68,67.0,Male,Female,Minor Injury,Speeding,0,0,No,No,Yes,Ford,Tesla,2015,2009.0,2020
AK,County 92,4/19/21,19:04,Monday,Urban,Windy,Wet,2,Truck,SUV,No,No,38,33.0,Male,Female,No Injury,Speeding,0,0,Yes,Yes,No,Toyota,Toyota,2013,2000.0,2021
GA,County 60,9/22/22,21:02,Wednesday,Residential,Snow,Gravel,1,Motorcycle,,No,,23,,Female,,No Injury,DUI,0,0,No,No,Yes,Hyundai,,2022,,2022
AL,County 2,3/18/23,10:14,Thursday,Rural,Rain,Icy,4,Sedan,Motorcycle,No,No,70,34.0,Male,Male,Severe Injury,DUI,0,6,Yes,Yes,No,Honda,Tesla,2013,2009.0,2023
IL,County 92,7/22/20,12:22,Wednesday,Highway,Clear,Wet,4,SUV,Motorcycle,No,No,76,65.0,Female,Female,No Injury,Speeding,0,0,No,Yes,No,Kia,Honda,2005,2019.0,2020
LA,County 55,5/22/20,15:20,Sunday,Highway,Clear,Construction Zone,5,Motorcycle,Sedan,No,No,27,79.0,Male,Male,Minor Injury,Fatigue,0,0,Yes,Yes,Yes,Honda,Hyundai,2007,2014.0,2020
WY,County 35,6/8/20,15:10,Tuesday,Highway,Snow,Gravel,3,SUV,EV,No,Yes,65,48.0,Female,Male,Severe Injury,Distracted Driving,0,4,No,Yes,No,Ford,BMW,2017,2018.0,2020
ID,County 26,11/22/22,13:46,Saturday,Highway,Clear,Dry,1,EV,,Yes,,59,,Male,,Minor Injury,Fatigue,0,0,No,No,No,Ford,,2002,,2022
LA,County 31,10/19/21,18:38,Monday,Urban,Windy,Wet,4,EV,Sedan,Yes,No,49,70.0,Male,Female,No Injury,Fatigue,0,0,No,Yes,No,Chevrolet,Audi,2016,2016.0,2021
IN,County 59,4/14/20,12:46,Thursday,Urban,Windy,Gravel,3,Motorcycle,Truck,No,No,69,75.0,Male,Female,Severe Injury,Mechanical Failure,0,8,Yes,No,No,Tesla,Hyundai,2011,2016.0,2020
OR,County 5,5/2/20,4:28,Thursday,Rural,Windy,Dry,1,EV,,Yes,,55,,Female,,Fatal,Fatigue,3,10,No,Yes,No,Chevrolet,,2011,,2020
NV,County 5,11/22/21,1:14,Saturday,Rural,Fog,Icy,4,EV,EV,Yes,Yes,47,43.0,Male,Female,No Injury,Fatigue,0,0,No,Yes,Yes,BMW,Audi,2022,2003.0,2021
FL,County 24,1/10/21,13:26,Sunday,Residential,Windy,Icy,1,EV,,Yes,,18,,Female,,No Injury,Distracted Driving,0,0,Yes,No,Yes,BMW,,2015,,2021
OR,County 54,2/22/21,9:43,Sunday,Rural,Windy,Construction Zone,5,Motorcycle,Motorcycle,Yes,No,19,56.0,Female,Male,Minor Injury,Weather,0,0,Yes,Yes,Yes,Audi,Toyota,2008,2020.0,2021
NV,County 98,12/4/23,2:34,Sunday,Residential,Fog,Dry,4,Motorcycle,SUV,Yes,No,39,23.0,Male,Female,Severe Injury,Weather,0,10,Yes,No,Yes,Kia,Kia,2005,2016.0,2023
CO,County 87,3/6/23,17:59,Tuesday,Residential,Clear,Construction Zone,2,Motorcycle,Truck,Yes,No,42,45.0,Female,Male,No Injury,Fatigue,0,0,Yes,No,No,Kia,Honda,2005,2012.0,2023
HI,County 4,2/26/21,22:44,Friday,Rural,Clear,Wet,3,Truck,EV,No,Yes,18,30.0,Female,Female,No Injury,Mechanical Failure,0,0,Yes,No,Yes,Tesla,Kia,2010,2017.0,2021
AL,County 48,6/13/21,19:33,Tuesday,Highway,Rain,Construction Zone,5,Truck,SUV,No,No,22,34.0,Male,Female,Fatal,Mechanical Failure,3,8,Yes,No,No,Honda,Chevrolet,2021,2003.0,2021
TN,County 68,4/2/23,1:06,Thursday,Highway,Windy,Wet,5,Sedan,Truck,Yes,No,16,41.0,Female,Male,Fatal,Mechanical Failure,0,9,Yes,No,No,Toyota,Audi,2001,2006.0,2023
ND,County 82,5/14/20,14:10,Thursday,Rural,Windy,Wet,5,Motorcycle,EV,No,Yes,38,53.0,Female,Female,Fatal,Fatigue,0,7,Yes,No,Yes,Audi,Honda,2002,2002.0,2020
AL,County 55,4/28/23,21:07,Saturday,Residential,Clear,Wet,4,Motorcycle,Motorcycle,Yes,No,32,17.0,Male,Male,Fatal,DUI,4,1,No,Yes,Yes,BMW,Chevrolet,2021,2008.0,2023
IN,County 42,5/3/23,12:40,Saturday,Rural,Snow,Icy,5,Motorcycle,Sedan,No,No,26,38.0,Male,Female,Severe Injury,Distracted Driving,0,2,No,Yes,No,Kia,Toyota,2018,2002.0,2023
GA,County 29,7/28/22,11:15,Monday,Rural,Windy,Icy,5,Motorcycle,Motorcycle,No,No,23,47.0,Female,Female,Fatal,DUI,2,3,No,No,Yes,Honda,Toyota,2011,2011.0,2022
WI,County 55,6/7/21,16:48,Monday,Residential,Snow,Icy,1,SUV,,No,,67,,Female,,Severe Injury,Speeding,0,5,No,No,Yes,Hyundai,,2011,,2021
VA,County 52,4/21/22,4:12,Tuesday,Rural,Fog,Dry,4,Motorcycle,Motorcycle,No,No,68,52.0,Male,Male,Minor Injury,Weather,0,0,No,No,Yes,Ford,Toyota,2008,2005.0,2022
MO,County 24,12/5/20,13:36,Friday,Rural,Clear,Gravel,4,Motorcycle,Sedan,No,No,74,68.0,Male,Male,Minor Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Nissan,Hyundai,2023,2015.0,2020
MT,County 72,11/20/22,14:45,Thursday,Residential,Windy,Wet,3,Motorcycle,Sedan,No,No,54,31.0,Male,Female,Severe Injury,Speeding,0,8,No,Yes,Yes,Nissan,Chevrolet,2019,2016.0,2022
WI,County 77,6/22/20,4:08,Thursday,Urban,Clear,Dry,1,Truck,,No,,54,,Male,,No Injury,Mechanical Failure,0,0,Yes,Yes,No,Chevrolet,,2001,,2020
WA,County 73,5/24/20,6:19,Monday,Urban,Rain,Construction Zone,5,Motorcycle,Truck,No,No,35,76.0,Male,Male,No Injury,Fatigue,0,0,No,No,No,Ford,Ford,2009,2000.0,2020
VA,County 84,11/5/20,1:33,Tuesday,Rural,Snow,Wet,1,EV,,Yes,,78,,Female,,No Injury,Weather,0,0,Yes,No,No,Ford,,2018,,2020
WY,County 70,3/10/20,20:54,Wednesday,Residential,Windy,Wet,1,Sedan,,No,,76,,Female,,Severe Injury,Fatigue,0,0,No,No,No,Tesla,,2016,,2020
MI,County 62,11/9/20,20:58,Saturday,Highway,Clear,Icy,2,Truck,Motorcycle,No,No,48,31.0,Male,Female,Severe Injury,Speeding,0,10,Yes,No,No,BMW,Tesla,2000,2001.0,2020
NY,County 26,8/8/23,5:04,Thursday,Highway,Clear,Wet,4,Sedan,EV,Yes,Yes,38,21.0,Male,Female,Fatal,Weather,1,8,No,Yes,Yes,Audi,Toyota,2006,2009.0,2023
ME,County 40,7/17/21,14:18,Friday,Urban,Snow,Gravel,4,Sedan,Motorcycle,No,No,69,32.0,Male,Female,Fatal,Speeding,5,7,No,No,Yes,Kia,Tesla,2015,2020.0,2021
CO,County 62,11/24/23,7:42,Tuesday,Highway,Clear,Icy,3,Motorcycle,SUV,No,No,48,20.0,Male,Female,Fatal,Distracted Driving,2,8,Yes,Yes,No,Audi,Honda,2008,2022.0,2023
MT,County 86,1/19/22,7:38,Saturday,Urban,Fog,Dry,4,Motorcycle,Sedan,Yes,No,22,52.0,Male,Male,Fatal,Fatigue,2,5,No,Yes,No,Toyota,Chevrolet,2019,2022.0,2022
ID,County 11,1/10/23,0:43,Tuesday,Residential,Fog,Wet,1,SUV,,No,,63,,Female,,Minor Injury,Fatigue,0,0,Yes,No,Yes,Ford,,2012,,2023
RI,County 90,11/23/21,2:57,Thursday,Highway,Fog,Construction Zone,2,SUV,SUV,Yes,No,59,69.0,Male,Male,Fatal,DUI,4,7,No,No,Yes,Hyundai,Hyundai,2001,2013.0,2021
NC,County 93,5/24/23,17:30,Monday,Rural,Clear,Dry,5,EV,Sedan,Yes,No,52,44.0,Male,Male,Severe Injury,Fatigue,0,2,No,No,Yes,Tesla,Nissan,2017,2008.0,2023
OK,County 7,12/3/21,5:51,Thursday,Rural,Rain,Dry,1,EV,,Yes,,67,,Male,,Minor Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Nissan,,2007,,2021
NM,County 87,1/15/20,15:30,Wednesday,Highway,Snow,Icy,4,Sedan,EV,Yes,Yes,33,41.0,Male,Female,Fatal,Distracted Driving,3,1,No,Yes,No,BMW,Audi,2012,2013.0,2020
NE,County 24,5/23/21,10:44,Sunday,Residential,Clear,Icy,2,Sedan,SUV,No,No,65,25.0,Female,Male,Severe Injury,Distracted Driving,0,7,No,Yes,Yes,BMW,Hyundai,2012,2001.0,2021
AR,County 51,4/29/21,1:25,Thursday,Rural,Fog,Dry,3,Sedan,SUV,Yes,No,27,70.0,Female,Male,Fatal,Speeding,1,9,Yes,Yes,Yes,Toyota,Chevrolet,2020,2000.0,2021
FL,County 3,5/30/23,8:21,Tuesday,Rural,Fog,Icy,5,Motorcycle,EV,No,Yes,62,45.0,Male,Male,No Injury,Speeding,0,0,Yes,No,Yes,Ford,Audi,2011,2015.0,2023
TX,County 42,6/11/21,8:40,Friday,Rural,Clear,Icy,3,EV,EV,Yes,Yes,52,52.0,Female,Male,Fatal,Speeding,4,0,Yes,No,No,Nissan,Hyundai,2006,2009.0,2021
ME,County 98,11/7/21,12:25,Tuesday,Rural,Windy,Icy,2,Sedan,Motorcycle,No,No,79,22.0,Female,Female,No Injury,Speeding,0,0,Yes,No,Yes,BMW,Ford,2009,2017.0,2021
NH,County 2,8/29/21,14:55,Saturday,Rural,Fog,Gravel,1,SUV,,No,,41,,Female,,Fatal,Distracted Driving,4,5,Yes,Yes,No,Chevrolet,,2021,,2021
IA,County 87,7/24/23,2:27,Thursday,Urban,Snow,Gravel,1,Truck,,Yes,,72,,Male,,Minor Injury,DUI,0,0,Yes,No,No,Tesla,,2006,,2023
MA,County 40,6/24/22,18:16,Monday,Residential,Snow,Icy,2,Sedan,Truck,No,No,75,22.0,Female,Female,Fatal,Weather,5,1,No,No,No,BMW,Kia,2006,2013.0,2022
DE,County 71,4/26/21,6:56,Wednesday,Residential,Snow,Construction Zone,4,Motorcycle,EV,No,Yes,16,63.0,Female,Male,Severe Injury,DUI,0,7,No,Yes,No,Chevrolet,Toyota,2020,2003.0,2021
HI,County 4,5/20/23,11:27,Thursday,Rural,Rain,Wet,2,EV,Motorcycle,Yes,No,43,33.0,Male,Female,Minor Injury,Distracted Driving,0,0,Yes,Yes,Yes,Nissan,Chevrolet,2005,2012.0,2023
NJ,County 49,6/18/23,18:41,Tuesday,Highway,Rain,Gravel,4,SUV,EV,No,Yes,36,44.0,Female,Male,Fatal,DUI,1,10,Yes,Yes,Yes,Honda,Toyota,2002,2013.0,2023
IA,County 98,12/24/20,16:17,Wednesday,Rural,Rain,Icy,4,Sedan,EV,No,Yes,35,17.0,Female,Female,Minor Injury,Speeding,0,0,No,No,No,Ford,BMW,2001,2014.0,2020
OR,County 89,6/1/23,19:04,Tuesday,Rural,Clear,Dry,1,Motorcycle,,No,,52,,Male,,Severe Injury,Fatigue,0,2,Yes,No,Yes,Ford,,2015,,2023
NJ,County 28,2/21/21,2:26,Saturday,Urban,Fog,Gravel,3,Motorcycle,Sedan,No,No,72,16.0,Male,Female,Fatal,DUI,3,0,No,No,Yes,Kia,Hyundai,2009,2004.0,2021
CO,County 94,3/17/20,20:30,Sunday,Highway,Clear,Wet,4,Truck,Sedan,Yes,No,71,76.0,Female,Male,No Injury,Mechanical Failure,0,0,No,Yes,No,Kia,Toyota,2013,2005.0,2020
KS,County 91,4/9/22,6:51,Friday,Highway,Fog,Icy,4,Sedan,Truck,No,No,73,50.0,Female,Female,Severe Injury,Speeding,0,8,Yes,No,No,Kia,Tesla,2008,2019.0,2022
NC,County 55,3/11/20,18:47,Friday,Highway,Snow,Dry,3,EV,SUV,Yes,No,34,69.0,Female,Female,Severe Injury,DUI,0,2,Yes,No,No,Tesla,Ford,2003,2005.0,2020
PA,County 91,12/28/22,20:04,Saturday,Urban,Snow,Construction Zone,3,EV,Truck,Yes,No,45,48.0,Male,Male,Fatal,DUI,5,7,No,Yes,Yes,Chevrolet,Kia,2016,2022.0,2022
NY,County 39,12/19/20,20:10,Wednesday,Residential,Fog,Construction Zone,4,Sedan,EV,No,Yes,80,34.0,Male,Male,No Injury,Weather,0,0,No,Yes,No,Hyundai,Honda,2002,2012.0,2020
MO,County 90,6/6/20,23:12,Saturday,Highway,Windy,Icy,4,Truck,Motorcycle,No,No,50,66.0,Male,Female,No Injury,Fatigue,0,0,No,No,No,Chevrolet,Hyundai,2007,2000.0,2020
NH,County 20,2/16/21,12:51,Monday,Urban,Windy,Dry,5,SUV,Motorcycle,No,No,26,65.0,Female,Male,Fatal,Speeding,3,5,No,No,No,Hyundai,BMW,2008,2010.0,2021
ND,County 52,10/22/21,10:48,Sunday,Highway,Fog,Icy,1,SUV,,No,,48,,Female,,No Injury,Distracted Driving,0,0,Yes,Yes,Yes,BMW,,2016,,2021
ND,County 54,12/23/22,4:18,Saturday,Urban,Snow,Dry,4,Motorcycle,Truck,No,No,48,57.0,Male,Male,Severe Injury,Distracted Driving,0,4,No,Yes,No,Honda,Toyota,2004,2006.0,2022
NE,County 69,5/22/22,0:32,Sunday,Rural,Snow,Gravel,1,Sedan,,No,,73,,Male,,Severe Injury,Mechanical Failure,0,3,Yes,No,No,Ford,,2006,,2022
NE,County 8,12/21/20,1:51,Saturday,Highway,Clear,Construction Zone,5,EV,SUV,Yes,No,19,51.0,Male,Male,Minor Injury,Fatigue,0,0,Yes,No,Yes,Kia,Audi,2019,2015.0,2020
OR,County 63,10/3/20,8:21,Tuesday,Highway,Clear,Wet,3,Motorcycle,EV,No,Yes,50,17.0,Female,Female,Fatal,Mechanical Failure,1,5,No,No,No,Hyundai,Toyota,2018,2010.0,2020
SD,County 29,3/19/23,8:43,Monday,Highway,Windy,Construction Zone,1,SUV,,No,,71,,Male,,Severe Injury,Fatigue,0,9,No,No,Yes,Toyota,,2007,,2023
MN,County 68,5/14/23,4:21,Friday,Highway,Windy,Dry,4,SUV,Truck,No,No,35,21.0,Male,Male,No Injury,Fatigue,0,0,No,No,No,Hyundai,BMW,2014,2011.0,2023
DE,County 85,9/24/21,2:32,Thursday,Highway,Windy,Wet,2,Sedan,EV,Yes,Yes,32,56.0,Female,Female,Fatal,Weather,3,2,Yes,Yes,Yes,BMW,Toyota,2023,2020.0,2021
OK,County 49,6/29/23,8:10,Thursday,Residential,Fog,Icy,5,SUV,Sedan,Yes,No,72,40.0,Male,Female,No Injury,DUI,0,0,Yes,Yes,No,Tesla,Hyundai,2002,2014.0,2023
GA,County 38,10/27/20,12:52,Wednesday,Highway,Windy,Icy,4,EV,EV,Yes,Yes,18,69.0,Male,Male,Severe Injury,Mechanical Failure,0,2,Yes,No,Yes,Audi,Kia,2016,2018.0,2020
